# Ratified toponym picks. Roll in toponyms.html, copy the basket, paste rows here,
# then run: python3 tools/build_settlements.py
site	nelox	exonym	layer	strategy	gloss	local
Vyborg	Vyborg	Viborg	raw loan	Keep local	the Karelian form was the local form and the state's clerks were local; nothing needed translating.	Vyborg
Petrozavodsk	Lundgrenlund	Petroskoi	hybrid	Patron	for mayor Rannveig Lundgren, who is remembered for a bridge and a scandal; the grove took the family name.	Petroskoi
Kondopoga	Elbinki	Elbinki	native	Transferred	the name travelled and the meaning did not: carried whole from Elbinki (Elbląg) by its founders.	Kondupohja
Segezha	Silô	Segeža	native	Foundation	a Nelôxian foundation, not an inherited town — canal-side timber and mill town.	Segeža
Kostomuksha	Bergmark	Kostamus	native	Descriptive	'rock market' — the entry in the oldest land-roll.	Kostamus
Sortavala	Sortavala	Sortavala	raw loan	Keep local	the Karelian form was the local form; nothing needed translating.	Sortavala
Olonets	Aunus	Aunus	raw loan	Keep local	keep the substrate name — NOT "Olonets", which never existed in this timeline.	Aunus
Belomorsk	Soroka		raw loan	Keep local	keep the substrate name — NOT "Belomorsk" (Soviet 1938); the town was Soroka.	Soroka
Priozersk	Kexhôlm	Kexholm	raw loan	Historical	the genuine historical / trade-route form on record for this place.	Käkisalmi
Kem	Litberg	Litberg	native	Descriptive	'little rock' — the entry in the oldest land-roll.	Kemi
Kuressaare	Kaltstedt	Kuressaare	nativized	Folk-etymology	a re-analysis: 'Kuressaare' sounded enough like kalt 'cold' + stedt 'stead'.	Kuressaare
Valga	Valga	Valga	raw loan	Keep local	the gravity principle: estate-and-upland country; no reason to rename it.	Valga
Võru	Võru	Võru	raw loan	Keep local	an estate name, and estates outlast administrations.	Võru
Aizkraukle	Altrānd	Aizkraukle	nativized	Folk-etymology	a re-analysis: 'Aizkraukle' sounded enough like alt 'old' + rānd 'shore'.	
Gulbene	Gulbene	Gulbene	raw loan	Keep local	too small to be worth a charter and too old to be worth changing.	Gulbene
Madona	Madona	Madona	raw loan	Keep local	an estate name, and estates outlast administrations.	Madona
Põlva	Sammô	Sammo	native	Accident	the ditto of a ditto, three towns down the page — it means 'ditto'.	
Smiltene	Keidani	Keidani	native	Transferred	carried whole from Keidani (Kėdainiai) by its founders.	
Kärdla	Kärdla	Kärdla	raw loan	Keep local	too small to be worth a charter and too old to be worth changing.	Kärdla
Kaunas	Kaunas		raw loan	Keep local	a name on every manifest in the Baltic is not worth changing.	Kaunas
Klaipėda	Klaipėda		raw loan	Keep local	the pilots' charts said this, and you do not re-letter a chart lightly.	Klaipėda
Šiauliai	Nēmbarg	Shavli	hybrid	Patron	for engineer Ilze Nēm, who cut the lock and drowned proving it.	
Alytus	Achterpont	Alytus	nativized	Folk-etymology	the folk etymology won; the arms show hind and bridge both.	
Marijampolė	Marijampolė	Mariampol	raw loan	Keep local	the harbour was known by this name in four counting-houses.	Marijampolė
Jonava	Nova Tilsit		hybrid	Transferred	the Romance settler-pattern 'Nova + homeland'. The founders came from Tilsit (Sovetsk).	
Kėdainiai	Kėdainiai	Keidany	raw loan	Keep local	the pilots' charts said this, and you do not re-letter a chart lightly.	Kėdainiai
Tauragė	Naujlinnô	Newburgh	hybrid	Descriptive	'new fortress' — how the carters asked for it, and it stuck.	
Palanga	Palanga	Polangen	raw loan	Keep local	the pilots' charts said this, and you do not re-letter a chart lightly.	Palanga
Radviliškis	Sent Margrete	Radziwiliszki	hybrid	Saint	the parish predates the town: Saint Margrete's.	
Raseiniai	Akmendôrp	Rossieny	hybrid	Descriptive	'stone village' — what the first surveyors wrote down.	
Kelmė	Nôwakovô	Nôwak	hybrid	Patron	Slavic possessive: 'Nôwak's place'.	
Neringa	Sandbarg	Nidden	native	Foundation	a Nelôxian foundation — pilot station and dune-service settlement on the Spit.	
Kaliningrad	Lejpont	Lejpont	native	Descriptive	'lower bridge' — the entry in the oldest land-roll.	Königsberg
Gdańsk	Grünsala	Danzig	nativized	Folk-etymology	the folk etymology won; the arms show green and island both.	Danzig
Szczecin	Szczecin	Stettin	raw loan	Keep local	the harbour was known by this name in four counting-houses.	Szczecin
Gdynia	Ebnērmarkt	Ebnērmarkt	hybrid	Patron	for rector Wôlfgang Ebnēr, who chartered the school before the town.	Gdingen
Olsztyn	Allenstein	Allenstein	raw loan	Historical	the genuine historical / trade-route form on record for this place.	Allenstein
Elbląg	Ellbąg	Ellbąg	nativized	Accident	the name was reversed in the mouth before it was reversed on the map.	Elbing
Koszalin	Koszalin	Köslin	raw loan	Keep local	the pilots' charts said this, and you do not re-letter a chart lightly.	Koszalin
Słupsk	Słupsk	Stolp	raw loan	Keep local	a name on every manifest in the Baltic is not worth changing.	Słupsk
Stargard	Stargard	Stargard	raw loan	Keep local	the harbour was known by this name in four counting-houses.	Stargard
Ełk	Ełk	Lyck	raw loan	Keep local	the harbour was known by this name in four counting-houses.	Ełk
Chernyakhovsk	Insterburg	Insterburg	raw loan	Keep local	keep the substrate name — NOT "Chernyakhovsk" (Soviet 1946); the town was Insterburg.	Insterburg
Gusev	Kuniskrōg	Gumbinnen	hybrid	Patron	'king's inn' — a crown road-town on the East Prussian highway; the posting inn came before the town.	Gumbinnen
Svetlahorsk	Bôndartilt	Bondartilt	hybrid	Patron	for captain Zôśka Bôndar, who wintered here with a broken keel and never left; the bridge took the family name.	Shatilki
Stalowa Wola	Dzelzmeçā	Dzelzmetsa	native	Descriptive	'iron forest' — plain description, never improved on.	
Chornomorsk	Sent Mīkel	Buhas	hybrid	Saint	the parish predates the town: Saint Mīkel's, and the settlement took the church's name.	Buhas
Bilhorod-Dnistrovskyi	Akerman	Akerman	raw loan	Historical	the genuine historical / trade-route form on record for this place.	Akkerman
Blagoevgrad	Kunishagen	Kunishagen	hybrid	Patron	a crown foundation — kunis- 'king's', the same element as Kunislinnô.	Gorna Dzhumaya
Dimitrovgrad	Kômetbrôd	Kometbrod	native	Event	the comet the whole district saw; the full phrase was 'the comet ford'.	Rakovski
Sandanski	Suhān	Suhan	hybrid	Descriptive	'water caravanserai' — the entry in the oldest land-roll.	Sveti Vrach
Gotse Delchev	Nôvdere	Novdere	nativized	Folk-etymology	a re-analysis: 'Nevrokop' sounded enough like nôv 'new' + dere 'valley'.	Nevrokop
Sevastopol	Amirālsatām	Sevastopol	native	Patron	'admiral's harbour' — the Fleet's own yard, named for the office rather than the man.	Akhtiar
Aix-en-Provence	Langfōnt	Langfont	hybrid	Descriptive	'long spring' — the name on the earliest toll-list.	
Bergamo	Bergamo	Bergamo	raw loan	Keep local	the route already had a name in the language of whoever charted the coast.	Bergamo
Turin	Turin	Turin	raw loan	Keep local	the route already had a name in the language of whoever charted the coast.	Turin
Nice	Nice	Nice	raw loan	Keep local	the notaries wrote it this way for four hundred years.	Nice
Marseille	Marseille	Marseille	raw loan	Keep local	the notaries wrote it this way for four hundred years.	Marseille
Milan	Milano	Milan	raw loan	Historical	the genuine historical / trade-route form on record for this place.	Milano
Verona	Verona	Verona	raw loan	Keep local	the saint's day is named for it, not the other way round.	Verona
Padua	Padua	Padua	raw loan	Keep local	the route already had a name in the language of whoever charted the coast.	Padua
Toulon	Tolon	Toulon	raw loan	Historical	the genuine historical / trade-route form on record for this place.	Tolon
Brescia	Brescia	Brescia	raw loan	Keep local	the saint's day is named for it, not the other way round.	Brescia
Monza	Monza	Monza	raw loan	Keep local	the saint's day is named for it, not the other way round.	Monza
Cannes	Maninmônt	Maninmont	hybrid	Patron	for admiral Marie Manin, who broke the blockade off this coast; the mount took the family name.	
Pavia	Paiva	Paiva	nativized	Accident	the name was reversed in the mouth before it was reversed on the map.	
Lugano	Lugano	Lugano	raw loan	Keep local	the shipping registers are the real authority here.	Lugano
Bellinzona	Bellinzona	Bellinzona	raw loan	Keep local	the notaries wrote it this way for four hundred years.	Bellinzona
Chur	Santdamiān	Chur	hybrid	Saint	the bishop's see before it was a market: Saint Damian's, at the fan of the passes.	Chur
Vlorë	Valona	Valona	raw loan	Historical	the genuine historical / trade-route form on record for this place.	Valona
Gospić	Gospić	Gospić	raw loan	Keep local	the shipping registers are the real authority here.	Gospić
